Production Total,ShortTonsExported,ProductionTotal,Unit Type,Year Start,Year End,Crop Type
Almonds (Kernel),115000,304915,Ton,2021,2022,Nut
Pistachios,,35558,Ton,2021,2022,Nut
Plums,,8280,Ton,2021,2022,Fruit
Walnuts,,22252,Ton,2021,2022,Nut
Peaches,,51209,Ton,2021,2022,Fruit
Cantaloupes,,2283819,40lbctn,2021,2022,Vegetable
Sweet Potatoes,,28268881,40lbctn,2021,2022,Vegetable
TomatoesMarket,,14300807,24lbctn,2021,2022,Vegetable
TomatoesProcessing,,2242710,Ton,2021,2022,Vegetable
ChickenEggs,,140694480,Dozn,2021,2022,PoultryProduct
CowMilk,,113810000,cwt,2021,2022,Milk
GoatMilk,,129269,cwt,2021,2022,Milk
Cattle,,6581424,cwt,2021,2022,Livestock
Chickens,,707178726,lb,2021,2022,Livestock
SheepLamb,,54501,cwt,2021,2022,Livestock
Turkeys,,69909725,lb,2021,2022,Livestock
Barley,,3905,ton,2021,2022,Field
Corn,,28100,ton,2021,2022,Field
Straw,,11581,ton,2021,2022,Field
Wheat,,56965,ton,2021,2022,Field