ItemName,Protein,Fat,Carbohydrates,Units,Minimum Serving to Macro Requirement
AlmondsKernel,0.2115,0.125,0.4993,g,260.36 grams
Pistachios,0.2016,0.106,0.4597,g,282.79 grams
Plums,0.007,0.014,0.003,g,"43,333.33 grams"
Walnuts,0.1523,0.067,0.6521,g,328.30 grams
Peaches,0.0091,0.015,0.0025,g,"52,000.00 grams"
Cantaloupes,0.0084,0.009,0.0019,g,"68,421.05 grams"
SweetPotatoes,0.0157,0.03,0.0015,g,"86,666.67 grams"
TomatoesMarket,0.0088,0.012,0.002,g,"65,000.00 grams"
TomatoesProcessing,0.009,0.009,0.002,g,"65,000.00 grams"
ChickenEggs,0.1256,0,0.0951,g,"1,367 grams"
CowMilk,0.0315,0,0.0325,g,"4,000 grams"
GoatMilk,0.0356,0,0.0325,g,"4,000 grams"
Cattle,22.5,12.5,0,lb,"2,222.149 grams"
Chickens,27.5,7.5,0,lb,"2,666.670 grams"
Sheep/Lamb,22.5,12.5,0,lb,"2,222.149 grams"
Turkeys,27.5,7.5,0,lb,"2,666.670 grams"
Barley,0.1248,0.173,0.0105,g,"12,380.95 grams"
Corn,0.0942,0.073,0.0474,g,"2,742.62 grams"
Straw,0.0503,0.137,0.015,g,"8,666.67 grams"
Wheat,0.1315,0.122,0.0154,g,"8,441.56 grams"